SECCIÓ CENSAL,total,homes,dones,Totals > 60 anys,> 60 anys Homes,> 60 anys Dones,> 60 anys_perc total,> 60 anys_perc_Homes,> 60 anys_perc_Dones
801910077,1818,925,893,256,125,131,"14,1","13,5","14,7"
801910078,2408,1192,1216,331,161,170,"13,7","13,5",14
801910079,1794,871,923,434,185,249,"24,2","21,2",27
801910080,2257,1128,1129,307,156,151,"13,6","13,8","13,4"
801910081,1992,999,993,426,183,243,"21,4","18,3","24,5"
801910082,2057,1072,985,302,115,187,"14,7","10,7",19
801910083,2256,1279,977,314,129,185,"13,9","10,1","18,9"
801910084,1701,848,853,348,136,212,"20,5",16,"24,9"
801910085,2090,1071,1019,385,153,232,"18,4","14,3","22,8"
801910086,1996,987,1009,434,173,261,"21,7","17,5","25,9"
801910087,1811,882,929,444,169,275,"24,5","19,2","29,6"
801910088,1688,824,864,485,230,255,"28,7","27,9","29,5"
801910089,3096,1744,1352,471,221,250,"15,2","12,7","18,5"
801910090,1465,710,755,362,154,208,"24,7","21,7","27,5"
801910091,1978,960,1018,584,248,336,"29,5","25,8",33
801910092,1473,688,785,625,284,341,"42,4","41,3","43,4"
801910093,1070,529,541,458,222,236,"42,8",42,"43,6"
801910094,2930,1438,1492,321,140,181,11,"9,7","12,1"
801910095,1298,656,642,253,102,151,"19,5","15,5","23,5"
801910096,1656,772,884,299,127,172,"18,1","16,5","19,5"
801910097,1606,758,848,353,144,209,22,19,"24,6"
801910098,1834,875,959,426,206,220,"23,2","23,5","22,9"
801910099,1144,542,602,268,101,167,"23,4","18,6","27,7"
801910100,1669,769,900,446,170,276,"26,7","22,1","30,7"
801910101,1628,827,801,289,121,168,"17,8","14,6",21
801910102,2601,1226,1375,773,325,448,"29,7","26,5","32,6"
801910103,2209,1046,1163,782,343,439,"35,4","32,8","37,7"
801910104,1575,748,827,475,247,228,"30,2",33,"27,6"
801910105,2278,1049,1229,595,242,353,"26,1","23,1","28,7"
801910106,1008,476,532,347,137,210,"34,4","28,8","39,5"
801910107,1560,756,804,393,179,214,"25,2","23,7","26,6"
801910108,1312,606,706,519,208,311,"39,6","34,3","44,1"
801910109,1557,730,827,523,208,315,"33,6","28,5","38,1"
801910110,1672,744,928,500,183,317,"29,9","24,6","34,2"
801910111,1276,597,679,429,172,257,"33,6","28,8","37,8"
801910112,1524,739,785,622,290,332,"40,8","39,2","42,3"
801910113,1205,575,630,270,108,162,"22,4","18,8","25,7"
801910114,1430,685,745,357,135,222,25,"19,7","29,8"
801910115,1382,656,726,439,176,263,"31,8","26,8","36,2"
801910116,1865,861,1004,580,229,351,"31,1","26,6",35
801910117,1257,591,666,460,184,276,"36,6","31,1","41,4"
801910118,1005,468,537,373,151,222,"37,1","32,3","41,3"
801910119,1164,530,634,376,149,227,"32,3","28,1","35,8"
801910120,1473,660,813,430,154,276,"29,2","23,3","33,9"
801910121,1596,775,821,423,169,254,"26,5","21,8","30,9"
801910122,1497,719,778,549,244,305,"36,7","33,9","39,2"
801910123,1370,668,702,446,195,251,"32,6","29,2","35,8"
801910124,1103,533,570,367,172,195,"33,3","32,3","34,2"
801910125,1100,530,570,414,177,237,"37,6","33,4","41,6"
801910126,1000,483,517,370,173,197,37,"35,8","38,1"
801910127,1027,504,523,229,107,122,"22,3","21,2","23,3"
