municipi,districte,seccio,mundissec11,codsecINE 10
80193,1,45,08019301045,0801901045
80193,1,46,08019301046,0801901046
80193,1,47,08019301047,0801901047
80193,1,48,08019301048,0801901048
80193,1,49,08019301049,0801901049
80193,1,50,08019301050,0801901050
80193,1,51,08019301051,0801901051
80193,1,52,08019301052,0801901052
80193,1,53,08019301053,0801901053
80193,1,54,08019301054,0801901054
80193,1,55,08019301055,0801901055
80193,2,1,08019302001,0801902001
80193,2,2,08019302002,0801902002
80193,2,3,08019302003,0801902003
80193,2,4,08019302004,0801902004
80193,2,5,08019302005,0801902005
80193,2,6,08019302006,0801902006
80193,2,7,08019302007,0801902007
80193,2,8,08019302008,0801902008
80193,2,9,08019302009,0801902009
80193,2,10,08019302010,0801902010
80193,2,11,08019302011,0801902011
80193,2,12,08019302012,0801902012
80193,2,13,08019302013,0801902013
80193,2,14,08019302014,0801902014
80193,2,15,08019302015,0801902015
80193,2,16,08019302016,0801902016
80193,2,17,08019302017,0801902017
80193,2,18,08019302018,0801902018
80193,2,19,08019302019,0801902019
80193,2,20,08019302020,0801902020
80193,2,21,08019302021,0801902021
80193,2,22,08019302022,0801902022
80193,2,23,08019302023,0801902023
80193,2,24,08019302024,0801902024
80193,2,25,08019302025,0801902025
80193,2,26,08019302026,0801902026
80193,2,27,08019302027,0801902027
80193,2,28,08019302028,0801902028
80193,2,29,08019302029,0801902029
80193,2,30,08019302030,0801902030
80193,2,31,08019302031,0801902031
80193,2,32,08019302032,0801902032
80193,2,33,08019302033,0801902033
80193,2,34,08019302034,0801902034
80193,2,35,08019302035,0801902035
80193,2,36,08019302036,0801902036
80193,2,37,08019302037,0801902037
80193,2,38,08019302038,0801902038
80193,2,39,08019302039,0801902039
80193,2,40,08019302040,0801902040
80193,2,41,08019302041,0801902041
80193,2,42,08019302042,0801902042
80193,2,43,08019302043,0801902043
80193,2,44,08019302044,0801902044
80193,2,45,08019302045,0801902045
80193,2,46,08019302046,0801902046
80193,2,47,08019302047,0801902047
80193,2,48,08019302048,0801902048
80193,2,49,08019302049,0801902049
80193,2,50,08019302050,0801902050
80193,2,51,08019302051,0801902051
80193,2,52,08019302052,0801902052
80193,2,53,08019302053,0801902053
80193,2,54,08019302054,0801902054
80193,2,55,08019302055,0801902055
80193,2,56,08019302056,0801902056
80193,2,57,08019302057,0801902057
80193,2,58,08019302058,0801902058
80193,2,59,08019302059,0801902059
80193,2,60,08019302060,0801902060
80193,2,61,08019302061,0801902061
80193,2,62,08019302062,0801902062
80193,2,63,08019302063,0801902063
80193,2,64,08019302064,0801902064
80193,2,65,08019302065,0801902065
80193,2,66,08019302066,0801902066
80193,2,67,08019302067,0801902067
80193,2,68,08019302068,0801902068
80193,2,69,08019302069,0801902069
80193,2,70,08019302070,0801902070
80193,2,71,08019302071,0801902071
80193,2,72,08019302072,0801902072
80193,2,73,08019302073,0801902073
80193,2,74,08019302074,0801902074
80193,2,75,08019302075,0801902075
80193,2,76,08019302076,0801902076
80193,2,77,08019302077,0801902077
80193,2,78,08019302078,0801902078
80193,2,79,08019302079,0801902079
80193,2,80,08019302080,0801902080
80193,2,81,08019302081,0801902081
80193,2,82,08019302082,0801902082
80193,2,83,08019302083,0801902083
80193,2,84,08019302084,0801902084
80193,2,85,08019302085,0801902085
80193,2,86,08019302086,0801902086
80193,2,87,08019302087,0801902087
80193,2,88,08019302088,0801902088
80193,2,89,08019302089,0801902089
80193,2,90,08019302090,0801902090
80193,2,91,08019302091,0801902091
80193,2,92,08019302092,0801902092
80193,2,93,08019302093,0801902093
80193,2,94,08019302094,0801902094
80193,2,95,08019302095,0801902095
80193,2,96,08019302096,0801902096
80193,2,97,08019302097,0801902097
80193,2,98,08019302098,0801902098
80193,2,99,08019302099,0801902099
80193,2,100,08019302100,0801902100
80193,2,101,08019302101,0801902101
80193,2,102,08019302102,0801902102
80193,2,103,08019302103,0801902103
80193,2,104,08019302104,0801902104
80193,2,105,08019302105,0801902105
80193,2,106,08019302106,0801902106
80193,2,107,08019302107,0801902107
80193,2,108,08019302108,0801902108
80193,2,109,08019302109,0801902109
80193,2,110,08019302110,0801902110
80193,2,111,08019302111,0801902111
80193,2,112,08019302112,0801902112
80193,2,113,08019302113,0801902113
80193,2,114,08019302114,0801902114
80193,2,115,08019302115,0801902115
80193,2,116,08019302116,0801902116
80193,2,117,08019302117,0801902117
80193,2,118,08019302118,0801902118
80193,2,119,08019302119,0801902119
80193,2,120,08019302120,0801902120
80193,2,121,08019302121,0801902121
80193,2,122,08019302122,0801902122
80193,2,123,08019302123,0801902123
80193,2,124,08019302124,0801902124
80193,2,125,08019302125,0801902125
80193,2,126,08019302126,0801902126
80193,2,127,08019302127,0801902127
80193,2,128,08019302128,0801902128
80193,2,129,08019302129,0801902129
80193,2,130,08019302130,0801902130
80193,2,131,08019302131,0801902131
80193,2,132,08019302132,0801902132
80193,2,133,08019302133,0801902133
80193,2,134,08019302134,0801902134
80193,2,135,08019302135,0801902135
80193,2,136,08019302136,0801902136
80193,2,137,08019302137,0801902137
80193,2,138,08019302138,0801902138
80193,2,139,08019302139,0801902139
80193,2,140,08019302140,0801902140
80193,2,141,08019302141,0801902141
80193,2,142,08019302142,0801902142
80193,2,143,08019302143,0801902143
80193,2,144,08019302144,0801902144
80193,2,145,08019302145,0801902145
80193,2,146,08019302146,0801902146
80193,2,147,08019302147,0801902147
80193,2,148,08019302148,0801902148
80193,2,149,08019302149,0801902149
80193,2,150,08019302150,0801902150
80193,2,151,08019302151,0801902151
80193,2,152,08019302152,0801902152
